AGRUPADO,ATUALIZADO,BLOQ_2469,CANCELADO,CODIGO,DE_ATE,DE_ESTOQUE,DTULTSETOR,EMPROD,EXPEDICAO,FATURADO,GRADE,HORA_ATU,IMPRESSO,IMP_ETIQ,ITEM,ITEMNF,LOTE,MATERIAL,MI,NFISCAL,NOME,NUMEROS,PEDIDO,PRODUCAO,QTDE_ETIQ,QUEBORIGEM,REFERENCIA,REMESSA,SERIE,SETORESTOQ,TOTAL,ULTSETOR
False,2026-03-13,False,False,00001507,007-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000001200000000000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001508,008-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000001170000000000000000000000000000000000000000000000117,000002,,,,,000016,,,117,
False,2026-03-13,False,False,00001509,009-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000120000000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001510,010-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000120000000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001511,011-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000114000000000000000000000000000000000000000000114,000002,,,,,000016,,,114,
False,2026-03-13,False,False,00001512,012-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000000012000000000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001513,013-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000000009700000000000000000000000000000000000000097,000002,,,,,000016,,,97,
False,2026-03-13,False,False,00001514,014-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000000000001200000000000000000000000000000000000120,000002,,,,,000016,,,120,
False,2026-03-13,False,False,00001515,015-015,False,,,,,,11:16,True,,009,,000001,,N,,,00000000000000000000000000060000000000000000000000000000000000006,000002,,,,,000016,,,6,
False,2026-03-13,False,False,00001601,001-001,False,,,,,,11:16,True,,010,,000001,,S,,,00000002000400050005000300020000000000000000000000000000000000021,000002,,,,,000017,,,21,
False,2026-03-13,False,False,00001701,001-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000008000000000000000000000000000000000000000000000000000000008,000003,,,,,000018,,,8,
False,2026-03-13,False,False,00001702,002-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000001500000000000000000000000000000000000000000000000000015,000003,,,,,000018,,,15,
False,2026-03-13,False,False,00001703,003-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000300000000000000000000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-13,False,False,00001704,004-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000040000000000000000000000000000000000000000000040,000003,,,,,000018,,,40,
False,2026-03-13,False,False,00001705,005-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000004000000000000000000000000000000000000000040,000003,,,,,000018,,,40,
False,2026-03-13,False,False,00001706,006-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000000000300000000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-13,False,False,00001707,007-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000000000000030000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-17,False,False,00002806,006-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000030000000000000000000000000000000030,000019,,,,,000027,,,30,
False,2026-03-17,False,False,00002807,007-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000004000000000000000000000000000040,000019,,,,,000027,,,40,
False,2026-03-17,False,False,00002808,008-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000100000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-13,False,False,00001901,001-008,False,,,,,,14:54,True,,001,,000001,,N,,,00080000000000000000000000000000000000000000000000000000000000008,000006,,,,,000020,,,8,
False,2026-03-13,False,False,00001902,002-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000035000000000000000000000000000000000000000000000000000000035,000006,,,,,000020,,,35,
False,2026-03-13,False,False,00001903,003-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000008000000000000000000000000000000000000000000000000000080,000006,,,,,000020,,,80,
False,2026-03-13,False,False,00001904,004-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000980000000000000000000000000000000000000000000000098,000006,,,,,000020,,,98,
False,2026-03-13,False,False,00001905,005-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000108000000000000000000000000000000000000000000108,000006,,,,,000020,,,108,
False,2026-03-13,False,False,00001906,006-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000000007200000000000000000000000000000000000000072,000006,,,,,000020,,,72,
False,2026-03-13,False,False,00001907,007-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000000000000450000000000000000000000000000000000045,000006,,,,,000020,,,45,
