DATA,LOTE,NOMESET,QTDE,REMESSA,SETOR,TALAO
2026-03-19,000001,EXPEDIÇÃO,45,000037,011,00003801
2026-03-19,000001,EXPEDIÇÃO,50,000038,011,00003901
2026-03-19,000001,EXPEDIÇÃO,55,000039,011,00004001
2026-03-19,000001,EXPEDIÇÃO,60,000040,011,00004101
2026-03-20,000001,EXPEDIÇÃO,75,000026,011,00002501
2026-03-20,000001,EXPEDIÇÃO,4,000026,011,00002601
2026-03-20,000001,EXPEDIÇÃO,14,000026,011,00002602
2026-03-20,000001,EXPEDIÇÃO,33,000026,011,00002603
2026-03-20,000001,EXPEDIÇÃO,28,000026,011,00002604
2026-03-20,000001,EXPEDIÇÃO,40,000026,011,00002605
2026-03-20,000001,EXPEDIÇÃO,22,000026,011,00002606
2026-03-20,000001,EXPEDIÇÃO,9,000026,011,00002607
2026-03-20,000001,EXPEDIÇÃO,5,000026,011,00002701
2026-03-20,000001,EXPEDIÇÃO,15,000026,011,00002702
2026-03-20,000001,EXPEDIÇÃO,27,000026,011,00002703
2026-03-20,000001,EXPEDIÇÃO,18,000026,011,00002704
2026-03-20,000001,EXPEDIÇÃO,36,000026,011,00002705
2026-03-20,000001,EXPEDIÇÃO,26,000026,011,00002706
2026-03-20,000001,EXPEDIÇÃO,17,000026,011,00002707
2026-03-20,000001,EXPEDIÇÃO,8,000020,011,00001901
2026-03-20,000001,EXPEDIÇÃO,35,000020,011,00001902
2026-03-20,000001,EXPEDIÇÃO,80,000020,011,00001903
2026-03-20,000001,EXPEDIÇÃO,98,000020,011,00001904
2026-03-20,000001,EXPEDIÇÃO,108,000020,011,00001905
2026-03-20,000001,EXPEDIÇÃO,72,000020,011,00001906
2026-03-20,000001,EXPEDIÇÃO,45,000020,011,00001907
2026-03-20,000001,EXPEDIÇÃO,12,000020,011,00001908
2026-03-20,000001,EXPEDIÇÃO,117,000021,011,00002001
2026-03-19,000001,DUBLAGEM,7,000048,002,00000001
2026-03-19,000001,DUBLAGEM,27,000048,002,00000101
2026-03-19,000001,DUBLAGEM,27,000048,002,00000201
